tau,K,div_prod,forward_model,forward_implied,prepaid_model,prepaid_implied,call,put,parity_residual_prepaid
0.745,100.0,0.98,98.0,98.00000000000001,98.0,98.00000000000001,2.5007798482033614,4.50077984820335,1.4210854715202004e-14
0.746,100.0,0.98,98.0,98.0,98.0,98.0,2.5030030359082382,4.503003035908238,0.0
0.747,100.0,0.98,98.0,98.00000000000003,98.0,98.00000000000003,2.5052248127337937,4.505224812733761,2.842170943040401e-14
0.748,100.0,0.98,98.0,98.00000000000004,98.0,98.00000000000004,2.507445181349696,4.507445181349652,4.263256414560601e-14
0.749,100.0,0.98,98.0,98.00000000000001,98.0,98.00000000000001,2.509664144417318,4.5096641444173,1.4210854715202004e-14
0.7499995,100.0,0.98,98.0,98.00000000000007,98.0,98.00000000000007,2.511880596159702,4.51188059615963,7.105427357601002e-14
0.75,100.0,0.96,96.0,96.00000000000003,96.0,96.00000000000003,1.7537143084181348,5.7537143084181075,2.842170943040401e-14
0.751,100.0,0.96,96.0,96.00000000000004,96.0,96.00000000000004,1.755731359198293,5.75573135919825,4.263256414560601e-14
0.752,100.0,0.96,96.0,96.00000000000011,96.0,96.00000000000011,1.7577473628046485,5.757747362804533,1.1368683772161603e-13
0.753,100.0,0.96,96.0,96.00000000000018,96.0,96.00000000000018,1.7597623207735447,5.759762320773362,1.8474111129762605e-13
0.754,100.0,0.96,96.0,96.00000000000007,96.0,96.00000000000007,1.7617762346379149,5.761776234637839,7.105427357601002e-14
0.755,100.0,0.96,96.0,96.00000000000009,96.0,96.00000000000009,1.7637891059274904,5.763789105927411,8.526512829121202e-14
0.756,100.0,0.96,96.0,96.00000000000007,96.0,96.00000000000007,1.7658009361684188,5.7658009361683495,7.105427357601002e-14
0.757,100.0,0.96,96.0,96.00000000000006,96.0,96.00000000000006,1.7678117268835178,5.76781172688346,5.684341886080802e-14
0.758,100.0,0.96,96.0,96.00000000000004,96.0,96.00000000000004,1.7698214795922456,5.769821479592204,4.263256414560601e-14
0.759,100.0,0.96,96.0,96.00000000000007,96.0,96.00000000000007,1.7718301958106346,5.771830195810563,7.105427357601002e-14
0.76,100.0,0.96,96.0,96.00000000000006,96.0,96.00000000000006,1.7738378770513548,5.773837877051294,5.684341886080802e-14
0.77499945,100.0,0.96,96.0,96.00000000000006,96.0,96.00000000000006,1.8038288212826339,5.803828821282576,5.684341886080802e-14
0.7999994,100.0,0.96,96.0,96.00000000000003,96.0,96.00000000000003,1.853312224811168,5.853312224811134,2.842170943040401e-14
0.82499935,100.0,0.96,96.0,96.00000000000006,96.0,96.00000000000006,1.902185689611196,5.902185689611141,5.684341886080802e-14
0.8499993,100.0,0.96,96.0,96.00000000000011,96.0,96.00000000000011,1.950470216543877,5.950470216543765,1.1368683772161603e-13
0.87499925,100.0,0.96,96.0,96.00000000000007,96.0,96.00000000000007,1.998185703192554,5.998185703192481,7.105427357601002e-14
0.8999992,100.0,0.96,96.0,96.00000000000011,96.0,96.00000000000011,2.045351014731425,6.045351014731308,1.1368683772161603e-13
0.92499915,100.0,0.96,96.0,96.0000000000001,96.0,96.0000000000001,2.0919840503543563,6.0919840503542595,9.947598300641403e-14
0.9499991,100.0,0.96,96.0,95.99999999999997,96.0,95.99999999999997,2.1381018053354746,6.1381018053354985,-2.842170943040401e-14
0.97499905,100.0,0.96,96.0,96.00000000000006,96.0,96.00000000000006,2.1837204288709815,6.183720428870921,5.684341886080802e-14
0.999999,100.0,0.96,96.0,96.00000000000007,96.0,96.00000000000007,2.2288552778974298,6.228855277897364,7.105427357601002e-14
