scenario,t,b,p_marg,p_bs,has_boundary,t_star_prob,b_star_prob,t_star_bs_jump,b_star_bs_jump,p_star_bs_jump
B_call,0.09230769230769231,132.70533153426172,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.09615384615384616,132.67781138280913,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.1,102.03279308175702,0.01587833954761486,0.0760169685395089,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.10394736842105264,132.82850611144565,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.10789473684210527,132.82723581322583,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.1118421052631579,132.82592936231057,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.11578947368421053,132.82458478777656,1.2212453270876722e-15,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.11973684210526317,132.8231999580066,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.12368421052631579,132.82177256304783,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.12763157894736843,132.82030009454598,1.2212453270876722e-15,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.13157894736842105,132.81877982279516,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.1355263157894737,132.8172087704558,2.1094237467877974e-15,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.1394736842105263,132.81558368232177,1.2212453270876722e-15,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.14342105263157895,132.81390099044026,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.1473684210526316,132.8121567737125,9.992007221626409e-16,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.1513157894736842,132.81034671095858,1.9984014443252818e-15,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.15526315789473685,132.8084660261662,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.15921052631578947,132.80650942442736,3.3306690738754696e-16,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
