scenario,t,b,p_marg,dp,p_bs,dp_bs,has_boundary,t_star_prob,b_star_prob,t_star_bs,b_star_bs,t_star_bs_jump,b_star_bs_jump,p_star_bs_jump,t_star_drop,b_star_drop,p_star_drop
A_call,0.25,104.70435983210807,0.0021055717006069896,0.00020708198646246512,0.014720683485429209,0.0007825068671095115,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.25390625,104.6910614698433,0.00233323644432204,0.0002276647437150503,0.015542385561989114,0.0008217020765599048,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.2578125,104.6767325912071,0.00258267102799814,0.0002494345836761003,0.016402738869817912,0.0008603533078287984,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.26171875,104.6622334416482,0.0028511121246372895,0.0002684410966391493,0.01728765245766012,0.0008849135878422065,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.265625,104.64968523915928,0.00312711524672149,0.00027600312208420075,0.018156795584836627,0.0008691431271765082,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.26953125,104.63691400410607,0.003422152149136437,0.00029503690241494684,0.019048592599289482,0.0008917970144528553,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.2734375,104.62295625717577,0.003743400789629092,0.0003212486404926551,0.01998259988567541,0.0009340072863859294,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.27734375,104.60813697509589,0.004090702211243968,0.0003473014216148762,0.020953968293302982,0.0009713684076275708,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.28125,104.59375654995671,0.004455851215398154,0.00036514900415418605,0.021935878022864674,0.0009819097295616919,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.28515625,104.5814702522299,0.004825034523446847,0.0003691833080486928,0.02289008384640695,0.0009542058235422757,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.2890625,104.5679459284736,0.00522446523668274,0.0003994307132358932,0.023888536183503062,0.0009984523370961118,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.29296875,104.55328863317554,0.0056555430149238806,0.00043107777824114013,0.02493078737855442,0.001042251195051358,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.296875,104.53826544313497,0.006113009005810466,0.00045746599088658524,0.026000064742370543,0.0010692773638161235,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.30078125,104.52485153908168,0.006577117771234375,0.00046410876542390955,0.027047315836737973,0.0010472510943674296,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.3046875,104.51166565171305,0.00706063520394129,0.0004835174327069147,0.028104344375405876,0.0010570285386679035,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.30859375,104.49722245489644,0.007580842873313509,0.0005202076693722191,0.029209338771906457,0.0011049943965005804,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.3125,104.48189705879354,0.008135774987222177,0.0005549321139086683,0.030354287480970576,0.0011449487090641197,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.31640625,104.46707510952292,0.00870931813255249,0.000573543145330313,0.031502237597711424,0.001147950116740848,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.3203125,104.45405250331926,0.009282811438188654,0.0005734933056361635,0.032615073080802526,0.0011128354830911014,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.32421875,104.43968186115916,0.00989829820077115,0.0006154867625824956,0.03378000362816491,0.001164930547362386,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.328125,104.42412470005166,0.010556331421945009,0.0006580332211738593,0.03499450162756146,0.0012144979993965466,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.33203125,104.40843623796367,0.011242863841966155,0.0006865324200211465,0.03622857913860045,0.001234077511038989,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.3359375,104.39490064795095,0.01192013458894814,0.0006772707469819839,0.03741136915594084,0.001182790017340396,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.33984375,104.38039932632337,0.012637888538784336,0.0007177539498361973,0.0386368294827264,0.0012254603267855546,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.34375,104.36458677916012,0.01340471445945024,0.0007668259206659034,0.03991758956395508,0.0012807600812286823,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.34765625,104.34837416811447,0.014206448590110776,0.0008017341306605363,0.04122587592082988,0.0013082863568747993,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.3515625,104.33384090973983,0.015002729646543145,0.0007962810564323686,0.042492265564095244,0.0012663896432653643,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.35546875,104.31891373119734,0.015832439111618024,0.0008297094650748793,0.04378405907167837,0.0012917935075831277,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.359375,104.30255800944259,0.016718849599030916,0.000886410487412892,0.045137701222447146,0.0013536421507687746,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.36328125,104.28570832760795,0.017644660070788465,0.0009258104717575488,0.046522437077016754,0.0013847358545696076,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.3671875,104.27052638631748,0.018560697657475256,0.0009160375866867909,0.047860653377531814,0.0013382163005150605,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.37109375,104.25486087876082,0.019514619525699217,0.0009539218682239614,0.04922796138316293,0.0013673080056311182,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.375,104.23766265166013,0.0205339680494927,0.001019348523793484,0.05066421444303193,0.001436253059868997,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.37890625,104.22008107119377,0.021592947863678047,0.0010589798141853457,0.052128254477095626,0.001464040034063696,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.3828125,104.20467246798701,0.022623522081039238,0.001030574217361191,0.05352137269647239,0.0013931182193767655,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.38671875,104.18799334098158,0.023715653075567222,0.0010921309945279845,0.054974695716523136,0.0014533230200507452,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.390625,104.16991665134266,0.024876440794464716,0.0011607877188974935,0.05649538621590561,0.001520690499382471,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.39453125,104.15206009266934,0.02606149565807836,0.0011850548636136438,0.05802000457083312,0.0015246183549275094,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.3984375,104.1358833497136,0.027224970736688503,0.0011634750786101433,0.05948745974206049,0.001467455171227372,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.40234375,104.11784860057688,0.0284743243647696,0.0012493536280810957,0.06104260590451044,0.0015551461624499496,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.40625,104.09889907174158,0.029783930357670907,0.0013096059929013082,0.06264849662325622,0.0016058907187457838,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.41015625,104.08147534692222,0.031073683854249357,0.0012897534965784496,0.06420103165346858,0.0015525350302123542,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.4140625,104.06355226347198,0.032409345984349525,0.001335662130100168,0.06578579946524482,0.0015847678117762443,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.41796875,104.04403841498889,0.033831384480343396,0.0014220384959938714,0.06745196464414221,0.0016661651788973941,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.421875,104.0247667127374,0.03527673751964411,0.001445353039300712,0.0691195164119644,0.001667551767822184,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.42578125,104.00657967060265,0.03671227450933978,0.0014355369896956738,0.07074908208677522,0.0016295656748108178,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.4296875,103.98630725045206,0.03825825453155307,0.0015459800222132891,0.0724853750180054,0.0017362929312301767,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.43359375,103.96551286721173,0.03985825540285248,0.0016000008712994118,0.07425851681035128,0.0017731417923458892,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.4375,103.94647616189616,0.041419373272061355,0.0015611178692088723,0.07596040494254819,0.0017018881321969048,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.44140625,103.92504003487083,0.043111946929373035,0.00169257365731168,0.07778831012697102,0.001827905184422829,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.4453125,103.90281433638475,0.04487352943690093,0.0017615825075278924,0.07966769119153982,0.001879381064568808,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.44921875,103.88199035602939,0.04660827887029351,0.0017347494333925795,0.08149088141058514,0.001823190219045312,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.453125,103.8586572148291,0.04849069005593831,0.0018824111856448056,0.0834516500536388,0.0019607686430536675,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.45703125,103.83471054782129,0.05043985677035834,0.0019491667144200253,0.08545797860370491,0.0020063285500661054,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.4609375,103.8105098309178,0.0524401615860296,0.002000304815671261,0.08749215925877035,0.002034180655065443,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.46484375,103.78399124309162,0.054594805727475104,0.0021546441414455053,0.0896626458529039,0.002170486594133547,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.46875,103.75768232270576,0.05678314180583377,0.002188336078358666,0.09183955786474873,0.0021769120118448337,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.47265625,103.72862249567575,0.0591592315165792,0.0023760897107454326,0.09418186476771157,0.002342306902962832,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.4765625,103.69824687563825,0.061656632944022016,0.0024974014274428136,0.09661689089791886,0.002435026130207296,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.48046875,103.66512560773127,0.06435995164587405,0.002703318701852031,0.09922699341871188,0.002610102520793023,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.484375,103.62944558319485,0.06727070999389406,0.002910758348020015,0.10200821222296391,0.002781218804252028,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.48828125,103.58917175539014,0.0705210748809999,0.003250364887105839,0.10508433189826666,0.0030761196753027464,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.4921875,103.54436081548656,0.07413202890371928,0.0036109540227193815,0.10846542253614677,0.003381090637880113,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.49609375,103.47451584838741,0.07943490032897249,0.005302871425253208,0.11340091740651942,0.0049354948703726476,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
B_call,0.0,132.81780817682028,0.0,0.0,0.0,0.0,True,0.1,102.03279308175702,0.25,100.20797086199737,0.1,102.03279308175702,0.0760169685395089,0.1,102.03279308175702,0.0760169685395089
B_call,0.0038461538461538464,132.81598941816344,0.0,0.0,0.0,0.0,True,0.1,102.03279308175702,0.25,100.20797086199737,0.1,102.03279308175702,0.0760169685395089,0.1,102.03279308175702,0.0760169685395089
B_call,0.007692307692307693,132.81409794382768,0.0,0.0,0.0,0.0,True,0.1,102.03279308175702,0.25,100.20797086199737,0.1,102.03279308175702,0.0760169685395089,0.1,102.03279308175702,0.0760169685395089
