scenario,t,b,b_plot,p_marg,p_marg_plot,p_bs,p_bs_plot,has_boundary,t_star_prob,b_star_prob,t_star_bs_jump,b_star_bs_jump,p_star_bs_jump
A_call,0.13671875,114.1548355681304,114.1548355681304,4.475086967659081e-12,4.475086967659081e-12,6.066195229470495e-08,6.066195229470495e-08,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.140625,114.13558320486045,114.13558320486045,6.188827228470473e-12,6.188827228470473e-12,9.381098736715998e-08,9.381098736715998e-08,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.14453125,114.11350823638612,114.11350823638612,8.577694110556422e-12,8.577694110556422e-12,1.4247103163889108e-07,1.4247103163889108e-07,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.1484375,114.08813691895087,114.08813691895087,1.1915135544882105e-11,1.1915135544882105e-11,2.1296674229676071e-07,2.1296674229676071e-07,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.15234375,114.0589565308168,114.0589565308168,1.659428150446729e-11,1.659428150446729e-11,3.1398827071704716e-07,3.1398827071704716e-07,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.15625,114.0254674398118,114.0254674398118,2.321420833339971e-11,2.321420833339971e-11,4.5743920723539944e-07,4.5743920723539944e-07,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.16015625,113.98730407848738,113.98730407848738,3.2623459489400375e-11,3.2623459489400375e-11,6.594740784571229e-07,6.594740784571229e-07,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.1640625,113.94449081337966,113.94449081337966,4.603784020673629e-11,4.603784020673629e-11,9.414587910372418e-07,9.414587910372418e-07,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.16796875,113.89795076649625,113.89795076649625,6.512257400004273e-11,6.512257400004273e-11,1.3298611528100857e-06,1.3298611528100857e-06,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.171875,113.85045998485411,113.85045998485411,9.180456395085912e-11,9.180456395085912e-11,1.8522279339183711e-06,1.8522279339183711e-06,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.17578125,113.80830584049453,113.80830584049453,1.273398053669439e-10,1.273398053669439e-10,2.5225998881994727e-06,2.5225998881994727e-06,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.1796875,113.7771047584295,113.7771047584295,1.7192758328121727e-10,1.7192758328121727e-10,3.337364903877038e-06,3.337364903877038e-06,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.18359375,113.74175463371688,113.74175463371688,2.331312920489381e-10,2.331312920489381e-10,4.389458683529135e-06,4.389458683529135e-06,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.1875,113.69333223146006,113.69333223146006,3.2328573151829687e-10,3.2328573151829687e-10,5.81236269547869e-06,5.81236269547869e-06,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.19140625,113.62637311143781,113.62637311143781,4.635022365917507e-10,4.635022365917507e-10,7.80187857085668e-06,7.80187857085668e-06,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.1953125,113.53595020801323,113.53595020801323,6.939601115973915e-10,6.939601115973915e-10,1.067375117996816e-05,1.067375117996816e-05,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.19921875,113.42859376838749,113.42859376838749,1.071825850296193e-09,1.071825850296193e-09,1.4737817113530394e-05,1.4737817113530394e-05,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.203125,113.35106149678668,113.35106149678668,1.559165574427368e-09,1.559165574427368e-09,1.9355449600910735e-05,1.9355449600910735e-05,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.20703125,113.337471182498,113.337471182498,1.9989510047224712e-09,1.9989510047224712e-09,2.326142394010189e-05,2.326142394010189e-05,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.2109375,113.32187375069311,113.32187375069311,2.5744097964519597e-09,2.5744097964519597e-09,2.7837710366573898e-05,2.7837710366573898e-05,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
