scenario,t,b,p_marg,dp,p_bs,dp_bs,has_boundary,t_star_prob,b_star_prob,t_star_bs,b_star_bs,t_star_drop,b_star_drop,p_star_drop
A_put,0.234375,76.96948841602945,7.550073978916158e-08,5.358459662762794e-09,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.23828125,76.97324151973379,8.116440846205407e-08,5.663668672892493e-09,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.2421875,76.97719608186826,8.717409527786108e-08,6.0096868158070095e-09,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.24609375,76.98136272700039,9.35479350105907e-08,6.373839732729623e-09,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.25,76.98575052870981,1.0030488577737464e-07,6.756950766783937e-09,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.25390625,76.99036513267295,1.074646030274077e-07,7.15971725003306e-09,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.2578125,76.99520498543251,1.1504698982421836e-07,7.582386796810662e-09,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.26171875,77.00025284766171,1.2307113438164426e-07,8.024144557425897e-09,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.265625,77.0054525988181,1.315521444526816e-07,8.481010071037336e-09,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.26953125,77.01061661342214,1.4048856154981817e-07,8.936417097136572e-09,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
A_put,0.2734375,77.01536205592306,1.4984898055373724e-07,9.360419003919073e-09,1.0,0.0,True,0.49609375,77.57844941512013,0.00390625,76.78031343896545,0.00390625,76.78031343896545,1.0
