time,cos_euro_standalone,cos_euro_from_rollback,fdm_euro,cos_american,fdm_american,lsmc_american_train,lsmc_american_refit,lsmc_cont_train_at_S0,lsmc_cont_refit_at_S0
0.259,8.158279389183832,8.158279389183832,10.458650795099922,11.014711413468355,10.458650795099922,5.5370143018367415,5.248383271792789,,
0.26,8.15173819403841,8.15173819403841,10.451921418041833,11.007237627861954,10.451921418041833,5.479545751852209,6.83379381434318,,
0.275,8.053147987454405,8.053147987454405,10.35044549036304,10.89498432200325,10.35044549036304,5.598708264310147,5.898401656538873,,
0.30000000000000004,7.886808109801063,7.886808109801063,10.179224903365615,10.705773980126642,10.179224903365615,4.943515137621888,5.810664032049968,,
0.325,7.717824148468003,7.717824148468003,10.005266966170634,10.513895922516118,10.005266966170634,4.201067633992462,4.898890632047544,,
0.35000000000000003,7.5460517509906975,7.5460517509906975,9.828415545555844,10.319161745018715,9.828415545555844,5.373056786043797,6.090039391825644,,
0.375,7.371332726400786,7.371332726400786,9.64852563959672,10.121402282493062,9.64852563959672,5.447952137465311,5.163256657848786,,
0.4,7.193493110151322,7.193493110151322,9.46539754725767,9.920431035630072,9.46539754725767,5.0173168870926865,4.598980076957393,,
0.42500000000000004,7.012340866415214,7.012340866415214,9.278838277617877,9.71604157258525,9.278838277617877,4.555548448199804,5.374077358579274,,
0.45,6.827663141052317,6.827663141052317,9.088626770976163,9.508409156120846,9.088626770976163,5.532474927313755,4.6852074460128215,,
0.47500000000000003,6.639222952926933,6.639222952926933,8.894507671091475,9.297010390071245,8.894507671091475,4.9185324700902875,4.588875583614882,,
0.5,6.446755176480914,6.446755176480914,8.69623282240769,9.081412324775636,8.69623282240769,5.466947476615622,4.671604973150961,,
0.525,6.249961620654373,6.249961620654373,8.493464667923536,8.861383851400877,8.493464667923536,4.329772137934367,4.874835521792733,,
0.55,6.048504942534329,6.048504942534329,8.28586125520669,8.636461519675292,8.28586125520669,4.2512732463529135,4.632119832478409,,
0.5750000000000001,5.84200103960442,5.84200103960442,8.073010310882289,8.40632522797595,8.073010310882289,4.368699189734162,4.607821424657665,,
0.6000000000000001,5.630009428211748,5.630009428211748,7.854475794919799,8.171112150309883,7.854475794919799,4.4860536930472525,5.71677241375307,,
0.625,5.412020915692594,5.412020915692594,7.629728657242144,7.929855605632643,7.629728657242144,4.675687851386643,3.8670214626989337,,
0.65,5.1874415732196395,5.1874415732196395,7.398119797047313,7.6816770043307905,7.398119797047313,3.8269539974810622,4.489248756194087,,
0.675,4.955571554902523,4.955571554902523,7.159016727074969,7.425765021373315,7.159016727074969,3.5266306974534336,4.272536031470961,,
0.7000000000000001,4.71557658044951,4.71557658044951,6.9116408857199545,7.161309866721758,6.9116408857199545,3.9147535612919198,3.686325669650226,,
0.7250000000000001,4.466448714414809,4.466448714414809,6.654739645224815,6.8878955462119436,6.654739645224815,3.7993255414783946,4.1912294126252005,,
0.74,4.3120853611527075,4.3120853611527075,6.495478203570372,6.718507585473951,6.495478203570372,3.3805697082109245,4.2840545229368185,,
0.741,4.301654434435268,4.301654434435268,6.484708182121318,6.707121290749018,6.484708182121318,3.126169436555433,3.944349156180952,,
0.742,4.291205449992395,4.291205449992395,6.473919535313474,6.6957155884561,6.473919535313474,3.3382650955635045,3.5493814673570454,,
0.743,4.280738306079187,4.280738306079187,6.463112581797468,6.6842903613400075,6.463112581797468,3.5763311645658016,3.9033304614253064,,
0.744,4.270252899987451,4.270252899987451,6.45230489227967,6.672691208570585,6.45230489227967,4.264589010297287,3.7172866844186374,,
0.745,4.25974912803277,4.25974912803277,6.441461256107334,6.661229634496774,6.441461256107334,3.876527808614589,4.036756725644588,,
0.746,4.249226885541353,4.249226885541353,6.430600746840803,10.376887869278969,6.430600746840803,4.373819423971075,3.9919880416188063,,
0.747,4.238686066837175,4.238686066837175,6.419724830410894,10.36888701950817,6.419724830410894,3.706846724413519,4.11041041254499,,
0.748,4.228126565227773,4.228126565227773,6.408840633780291,10.360171645198147,6.408840633780291,3.949774301008435,3.4510698424386446,,
0.749,4.217548272991351,4.217548272991351,6.397931921016211,10.35214740675137,6.397931921016211,3.617520926174788,3.2060861417314164,,
0.75,5.22445327643635,5.22445327643635,5.217341049781293,5.399144661133941,5.217341049781293,3.574941028571422,3.591947869263411,,
0.751,5.213544750063007,5.213544750063007,5.206430808395977,5.387662687198788,5.206430808395977,4.030388653967504,3.872961220710348,,
0.752,5.202615996684032,5.202615996684032,5.195500303328903,5.376160819033678,5.195500303328903,3.7029866691670783,3.8553176413490835,,
0.753,5.191666894513255,5.191666894513255,5.184549412374601,5.364638936952181,5.184549412374601,3.7446775845158635,3.538172015947891,,
