scenario,t,b,p_bs,p_marg,t_star_prob,b_star_prob,t_star_bs_jump,b_star_bs_jump,p_star_bs_jump
B_call,0.0392156862745098,120.5608323557186,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.041176470588235294,120.54230756211764,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.04313725490196079,120.52631981833673,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.04509803921568628,120.51281974871227,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.047058823529411764,120.49862250916125,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.049019607843137254,120.48406372373728,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.050980392156862744,120.46942761427728,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.05294117647058824,120.45489731297877,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.05490196078431373,120.44056207377542,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.056862745098039215,120.42645122751844,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.05882352941176471,120.41257129090081,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.060784313725490195,120.39894137797278,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.06274509803921569,120.38563566222776,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.06470588235294118,120.37285567506594,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.06666666666666667,120.36109177673089,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.06862745098039216,120.35158311127913,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.07058823529411766,120.34274658319656,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.07254901960784314,120.33307703753367,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.07450980392156863,120.32233616894511,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.07647058823529412,120.31016498902706,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.0784313725490196,120.29598497308262,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.0803921568627451,120.27877770922785,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.08235294117647059,120.2565501569079,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.08431372549019608,120.2254251073278,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.08627450980392158,120.18729239800318,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.08823529411764706,120.14533265796139,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.09019607843137256,120.11083031375505,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.09215686274509804,120.08162657155174,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.09411764705882353,120.0551662422312,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.09607843137254903,120.03071212547414,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.09803921568627451,120.01022881602388,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.1,100.39805668695807,0.411600752478027,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.10194805194805195,121.01014322108395,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.1038961038961039,121.00398649096879,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.10584415584415585,120.9974472365422,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.1077922077922078,120.99046963113885,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.10974025974025975,120.98298694214667,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.1116883116883117,120.97491977161523,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.11363636363636365,120.96617507136261,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.1155844155844156,120.95664764610999,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.11753246753246754,120.94622793014256,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.11948051948051948,120.93482349432311,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.12142857142857143,120.92240625099615,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.12337662337662338,120.90909638253736,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.12532467532467534,120.89527256340112,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.1272727272727273,120.88165771678875,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.12922077922077924,120.86936178911121,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.13116883116883118,120.86016299728647,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.13311688311688313,120.8510949782294,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.13506493506493505,120.84166195566269,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.13701298701298703,120.83192889457848,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.13896103896103895,120.82196453073567,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.1409090909090909,120.81183387025362,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.14285714285714285,120.8015927590863,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.1448051948051948,120.79128542523264,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.14675324675324675,120.78094484364536,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.1487012987012987,120.77059525029841,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.15064935064935064,120.76025618933181,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.1525974025974026,120.74994792843898,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.15454545454545454,120.73969876357067,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.1564935064935065,120.72955578537592,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.15844155844155844,120.71960265803959,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.1603896103896104,120.70999269573261,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.16233766233766234,120.70101950778479,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.16428571428571428,120.69330045950578,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.16623376623376623,120.68731482170124,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.16818181818181818,120.68098578003425,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.17012987012987013,120.67425919635988,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.17207792207792208,120.66706769102744,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.17402597402597403,120.6593262153526,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.17597402597402595,120.65092587365766,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.17792207792207793,120.64172539774663,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.17987012987012985,120.63153993424736,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.18181818181818182,120.6201285301163,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.18376623376623374,120.60718867636996,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.18571428571428572,120.59238990507107,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.18766233766233764,120.57554113455012,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.18961038961038962,120.55705864771839,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.19155844155844154,120.53865115099943,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.19350649350649352,120.52356497905134,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.19545454545454544,120.50984402777888,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.1974025974025974,120.49552772305574,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.19935064935064933,120.48096071161312,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.2012987012987013,120.46640794727978,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.20324675324675323,120.45202304491893,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.2051948051948052,120.43786965623487,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.20714285714285713,120.4239601807352,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.2090909090909091,120.41029233033973,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.21103896103896103,120.39688292831954,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.212987012987013,120.38380980138638,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.21493506493506492,120.3712859637206,1.1102230246251565e-16,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.2168831168831169,120.35982880151,1.1102230246251565e-16,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.21883116883116882,120.35074844041783,1.6653345369377348e-16,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.2207792207792208,120.34200743564905,2.220446049250313e-16,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.22272727272727272,120.33244013696087,3.3306690738754696e-16,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.2246753246753247,120.32180919034903,4.440892098500626e-16,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.22662337662337662,120.30975592238586,6.661338147750939e-16,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.22857142857142856,120.29569922677341,8.881784197001252e-16,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.2305194805194805,120.2786057719521,1.2212453270876722e-15,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.23246753246753246,120.25640788967797,1.6653345369377348e-15,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.2344155844155844,120.2248430975605,2.3869795029440866e-15,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.23636363636363636,120.18563183810595,3.4416913763379853e-15,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.2383116883116883,120.14303419876897,4.9404924595819466e-15,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.24025974025974026,120.10905294664074,6.938893903907228e-15,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.2422077922077922,120.08039088865598,9.547918011776346e-15,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.24415584415584415,120.0544093441704,1.2989609388114332e-14,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.2461038961038961,120.03035776897633,1.7430501486614958e-14,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.24805194805194805,120.00995151458773,2.3148150063434514e-14,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.25,100.23520624253493,0.3264001898368218,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.2519607843137255,120.7535259331754,2.220446049250313e-16,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.25392156862745097,120.74313553054014,3.3306690738754696e-16,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.25588235294117645,120.73282978809867,3.885780586188048e-16,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.25784313725490193,120.72268073711255,5.551115123125783e-16,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.25980392156862747,120.7128177910117,7.216449660063518e-16,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.26176470588235295,120.70348245289995,9.43689570931383e-16,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.26372549019607844,120.69515724428676,1.2212453270876722e-15,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.2656862745098039,120.68895306471074,1.5543122344752192e-15,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.2676470588235294,120.6826222556464,1.9984014443252818e-15,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.2696078431372549,120.67590078134955,2.55351295663786e-15,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.27156862745098037,120.6687235702633,3.2751579226442118e-15,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.27352941176470585,120.66100884197644,4.163336342344337e-15,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.2754901960784314,120.65265240464595,5.329070518200751e-15,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.2774509803921569,120.64351984301837,6.772360450213455e-15,nan,,,0.1,100.39805668695807,0.411600752478027
